Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2024-03-01 00:00,1.287,0.038,0,0,0,0,p
2024-03-01 00:06,1.287,0.04,1,0,0,0,p
2024-03-01 00:12,1.281,0.039,0,0,0,0,p
2024-03-01 00:18,1.265,0.036,1,0,0,0,p
2024-03-01 00:24,1.255,0.036,0,0,0,0,p
2024-03-01 00:30,1.232,0.039,0,0,0,0,p
2024-03-01 00:36,1.226,0.038,0,0,0,0,p
2024-03-01 00:42,1.212,0.044,0,0,0,0,p
2024-03-01 00:48,1.188,0.044,0,0,0,0,p
2024-03-01 00:54,1.152,0.042,0,0,0,0,p
2024-03-01 01:00,1.124,0.043,0,0,0,0,p
2024-03-01 01:06,1.095,0.042,0,0,0,0,p
2024-03-01 01:12,1.087,0.042,0,0,0,0,p
2024-03-01 01:18,1.074,0.038,0,0,0,0,p
2024-03-01 01:24,1.077,0.037,0,0,0,0,p
2024-03-01 01:30,1.064,0.04,0,0,0,0,p
2024-03-01 01:36,1.047,0.037,1,0,0,0,p
2024-03-01 01:42,1.039,0.032,0,0,0,0,p
2024-03-01 01:48,1.031,0.03,0,0,0,0,p
2024-03-01 01:54,1.019,0.026,0,0,0,0,p
2024-03-01 02:00,,,1,1,1,1,p
2024-03-01 02:06,,,1,1,1,1,p
2024-03-01 02:12,,,1,1,1,1,p
2024-03-01 02:18,,,1,1,1,1,p
2024-03-01 02:24,,,1,1,1,1,p
2024-03-01 02:30,,,1,1,1,1,p
2024-03-01 02:36,,,1,1,1,1,p
2024-03-01 02:42,,,1,1,1,1,p
2024-03-01 02:48,,,1,1,1,1,p
2024-03-01 02:54,,,1,1,1,1,p
2024-03-01 03:00,,,1,1,1,1,p
2024-03-01 03:06,,,1,1,1,1,p
2024-03-01 03:12,,,1,1,1,1,p
2024-03-01 03:18,,,1,1,1,1,p
2024-03-01 03:24,,,1,1,1,1,p
2024-03-01 03:30,,,1,1,1,1,p
2024-03-01 03:36,,,1,1,1,1,p
2024-03-01 03:42,,,1,1,1,1,p
